task_id,study,cell_id,job_type,scenario_code,n,p,main_k,separation,main_structure,main_distribution,main_weights,residual_total,minority_ratio,q,minority_shape,minority_sd,minority_proximity,noise_type,k_fit,alpha_fit,restr_fact,auto_macro,nstart,null_reps,nstart_values,null_reps_values,rep_start,rep_end,method_set,factor_changed
137,architecture,2,main,N0,500,2,2,10,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,361,370,core,full_factorial
138,architecture,2,main,N0,500,2,2,10,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,371,380,core,full_factorial
139,architecture,2,main,N0,500,2,2,10,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,381,390,core,full_factorial
140,architecture,2,main,N0,500,2,2,10,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,391,400,core,full_factorial
141,architecture,2,main,N0,500,2,2,10,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,401,410,core,full_factorial
142,architecture,2,main,N0,500,2,2,10,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,411,420,core,full_factorial
143,architecture,2,main,N0,500,2,2,10,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,421,430,core,full_factorial
144,architecture,2,main,N0,500,2,2,10,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,431,440,core,full_factorial
145,architecture,2,main,N0,500,2,2,10,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,441,450,core,full_factorial
146,architecture,2,main,N0,500,2,2,10,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,451,460,core,full_factorial
147,architecture,2,main,N0,500,2,2,10,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,461,470,core,full_factorial
148,architecture,2,main,N0,500,2,2,10,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,471,480,core,full_factorial
149,architecture,2,main,N0,500,2,2,10,spherical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,481,490,core,full_factorial
