task_id,study,cell_id,job_type,scenario_code,n,p,main_k,separation,main_structure,main_distribution,main_weights,residual_total,minority_ratio,q,minority_shape,minority_sd,minority_proximity,noise_type,k_fit,alpha_fit,restr_fact,auto_macro,nstart,null_reps,nstart_values,null_reps_values,rep_start,rep_end,method_set,factor_changed
99,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,981,990,core,baseline
100,negative_control,1,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,uniform,2,0.1,20,False,500,49,,,991,1000,core,baseline
101,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,1,10,core,noise_type
102,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,11,20,core,noise_type
103,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,21,30,core,noise_type
104,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,31,40,core,noise_type
105,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,41,50,core,noise_type
106,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,51,60,core,noise_type
107,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,61,70,core,noise_type
108,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,71,80,core,noise_type
109,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,81,90,core,noise_type
110,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,91,100,core,noise_type
111,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,101,110,core,noise_type
112,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,111,120,core,noise_type
113,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,121,130,core,noise_type
114,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,131,140,core,noise_type
115,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,141,150,core,noise_type
116,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,151,160,core,noise_type
117,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,161,170,core,noise_type
118,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,171,180,core,noise_type
119,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,181,190,core,noise_type
120,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,191,200,core,noise_type
121,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,201,210,core,noise_type
122,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,211,220,core,noise_type
123,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,221,230,core,noise_type
124,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,231,240,core,noise_type
125,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,241,250,core,noise_type
126,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,251,260,core,noise_type
127,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,261,270,core,noise_type
128,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,271,280,core,noise_type
129,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,281,290,core,noise_type
130,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,291,300,core,noise_type
131,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,301,310,core,noise_type
132,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,311,320,core,noise_type
133,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,321,330,core,noise_type
134,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,331,340,core,noise_type
135,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,341,350,core,noise_type
136,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,351,360,core,noise_type
137,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,361,370,core,noise_type
138,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,371,380,core,noise_type
139,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,381,390,core,noise_type
140,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,391,400,core,noise_type
141,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,401,410,core,noise_type
142,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,411,420,core,noise_type
143,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,421,430,core,noise_type
144,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,431,440,core,noise_type
145,negative_control,2,main,N0X,1000,5,2,6,elliptical,normal,balanced,0.1,0.0,0,gaussian,0.2,isolated,gaussian_diffuse,2,0.1,20,False,500,49,,,441,450,core,noise_type
