"study","cell_id","scenario","factor_changed","method","n","p","main_k","separation","main_structure","main_distribution","minority_ratio","q","minority_sd","minority_proximity","MajorARI","MinorityDetectionF1","MinorityClusterF1","AnyMicroDiscovery","AbsQError","SpuriousExtraClusters","end_to_end_seconds"
"architecture",31,"M1","full_factorial","HDBSCAN_full",1000,5,2,6,"elliptical","normal",0.05,1,0.2,"isolated",0.00105111119620159,0.896547892061755,0.896547892061755,0.913333333333333,0.0866666666666667,0,0.0342699999999483
"architecture",32,"M1","full_factorial","HDBSCAN_full",1000,5,2,10,"elliptical","normal",0.05,1,0.2,"isolated",2.97434308507947e-07,0.947511065927289,0.947511065927289,1,0,0,0.0333899999999873
"architecture",33,"M2","full_factorial","HDBSCAN_full",500,2,2,6,"spherical","normal",0.025,1,0.2,"isolated",0.465217791523321,0.779875764527163,0.779875764527163,0.976666666666667,1.71,1.68666666666667,0.00919333333329026
"architecture",34,"M2","full_factorial","HDBSCAN_full",500,2,2,10,"spherical","normal",0.025,1,0.2,"isolated",0.916499905958745,0.723305718352541,0.723305718352541,1,1.62666666666667,1.62666666666667,0.0086800000000585
"architecture",35,"M2","full_factorial","HDBSCAN_full",500,2,2,6,"elliptical","normal",0.025,1,0.2,"isolated",0.0115914928494058,0.737731292783478,0.737731292783478,0.953333333333333,0.4,0.36,0.00830333333348487
"architecture",36,"M2","full_factorial","HDBSCAN_full",500,2,2,10,"elliptical","normal",0.025,1,0.2,"isolated",0.828038794068374,0.727221136095015,0.727221136095015,1,2.13333333333333,2.13333333333333,0.00834333333338388
"architecture",37,"M2","full_factorial","HDBSCAN_full",500,5,2,6,"spherical","normal",0.025,1,0.2,"isolated",9.71759343117258e-05,0.778639883232987,0.778639883232987,0.813333333333333,0.186666666666667,0,0.0109966666665302
"architecture",38,"M2","full_factorial","HDBSCAN_full",500,5,2,10,"spherical","normal",0.025,1,0.2,"isolated",1.73286828057166e-06,0.859149594326253,0.859149594326253,0.996666666666667,0.00333333333333333,0,0.0111400000000867
"architecture",39,"M2","full_factorial","HDBSCAN_full",500,5,2,6,"elliptical","normal",0.025,1,0.2,"isolated",0.00120039313207335,0.873915810244123,0.873915810244123,0.926666666666667,0.0733333333333333,0,0.0114899999999761
"architecture",40,"M2","full_factorial","HDBSCAN_full",500,5,2,10,"elliptical","normal",0.025,1,0.2,"isolated",7.92508768482195e-07,0.829217130874875,0.829217130874875,1,0,0,0.0110399999999572
"architecture",41,"M2","full_factorial","HDBSCAN_full",1000,2,2,6,"spherical","normal",0.025,1,0.2,"isolated",0.406245779306219,0.80413295722193,0.80413295722193,0.97,4.35,4.34666666666667,0.0272766666667303
"architecture",42,"M2","full_factorial","HDBSCAN_full",1000,2,2,10,"spherical","normal",0.025,1,0.2,"isolated",0.930658973068959,0.812840112104341,0.812840112104341,1,3.37666666666667,3.37666666666667,0.0271500000000015
"architecture",43,"M2","full_factorial","HDBSCAN_full",1000,2,2,6,"elliptical","normal",0.025,1,0.2,"isolated",0.0117398016960338,0.799818130599927,0.799818130599927,0.98,2.28666666666667,2.28666666666667,0.0272933333334246
"architecture",44,"M2","full_factorial","HDBSCAN_full",1000,2,2,10,"elliptical","normal",0.025,1,0.2,"isolated",0.871234250371759,0.82166512557645,0.82166512557645,1,4.59,4.59,0.0273400000000523
"architecture",45,"M2","full_factorial","HDBSCAN_full",1000,5,2,6,"spherical","normal",0.025,1,0.2,"isolated",1.27062563547666e-05,0.757438634200906,0.757438634200906,0.786666666666667,0.213333333333333,0,0.0343333333333309
"architecture",46,"M2","full_factorial","HDBSCAN_full",1000,5,2,10,"spherical","normal",0.025,1,0.2,"isolated",4.66044808769156e-07,0.896391169748583,0.896391169748583,0.996666666666667,0.00333333333333333,0,0.0333266666665198
"architecture",47,"M2","full_factorial","HDBSCAN_full",1000,5,2,6,"elliptical","normal",0.025,1,0.2,"isolated",0.000887762813454453,0.867215990368428,0.867215990368428,0.91,0.09,0,0.0343166666664789
"architecture",48,"M2","full_factorial","HDBSCAN_full",1000,5,2,10,"elliptical","normal",0.025,1,0.2,"isolated",3.39843055053331e-08,0.880050026742116,0.880050026742116,1,0,0,0.0341333333334236
"architecture",49,"M3","full_factorial","HDBSCAN_full",500,2,2,6,"spherical","normal",0.05,1,0.55,"isolated",0.572895006372659,0.806805489461873,0.806805489461873,0.913333333333333,1.68333333333333,1.59666666666667,0.00829666666662282
