"study","cell_id","comparator","NPairs","MajorARI_MeanAdvantage","MajorARI_MCSE","MinorityDetectionF1_MeanAdvantage","MinorityDetectionF1_MCSE","MinorityClusterF1_MeanAdvantage","MinorityClusterF1_MCSE","AnyMicroDiscovery_MeanAdvantage","AnyMicroDiscovery_MCSE","AbsQError_MeanAdvantage","AbsQError_MCSE","SpuriousExtraClusters_MeanAdvantage","SpuriousExtraClusters_MCSE","end_to_end_seconds_MeanAdvantage","end_to_end_seconds_MCSE"
"stress",22,"DBSCAN_full",300,0.911611359259545,0.000988391953758571,0.138473995164741,0.0266934543728793,0.138473995164741,0.0266934543728793,-0.19,0.0313519240846987,0.19,0.0313519240846987,0,0,-0.835166666666743,0.0410860130033511
"stress",23,"DBSCAN_full",300,0.907462886803501,0.00107351807389221,-0.0301533722595271,0.00878965357452236,-0.0301533722595271,0.00878965357452236,0.04,0.0113326119515973,-0.04,0.0113326119515973,0,0,-0.374936666666702,0.000849878977980861
"stress",24,"DBSCAN_full",300,0.815382156869479,0.00160656355859309,0,0,0,0,0,0,0,0,0,0,-0.409803333333245,0.00121449530588244
"stress",25,"DBSCAN_full",300,0.820966777388021,0.000813508730550782,0,0,0,0,0,0,0,0,0,0,-0.384850000000127,0.001022022008334
"stress",26,"DBSCAN_full",300,0.880504657648293,0.00997080763530518,0.0388407817700867,0.0242224282033941,0.0388407817700866,0.0242224282033941,-0.176666666666667,0.0244531419275737,0.176666666666667,0.0244531419275737,0,0,-1.82347666666665,0.022338683406339
"stress",27,"DBSCAN_full",300,0.878247878785589,0.00109006815067578,0.671448131020312,0.00426321241102058,0.671448131020312,0.00426321241102058,-1,0,0.986666666666667,0.00663313753541497,-0.0133333333333333,0.00663313753541497,-2.11825666666669,0.0116148202509203
"stress",28,"DBSCAN_full",300,0.798264954684299,0.0191734956125389,0.205604432976057,0.0299313799085284,0.205604432976057,0.0299313799085284,-0.283333333333333,0.0304035779935904,0.283333333333333,0.0304035779935904,0,0,-1.37211999999992,0.0335082022405159
"stress",29,"DBSCAN_full",300,0.787871607764576,0.0127639690145531,0.0380023316504673,0.0182355332794359,0.0380023316504673,0.0182355332794359,-0.106666666666667,0.0178519448823718,0.106666666666667,0.0178519448823718,0,0,-1.81899333333344,0.0247068430499967
"stress",30,"DBSCAN_full",300,0.829651562995718,0.00844237413171153,0.176585150528505,0.0247319591381947,0.176585150528505,0.0247319591381947,-0.236666666666667,0.0245804634305387,0.236666666666667,0.0245804634305387,0,0,-1.82099333333324,0.0171000524772052
"stress",1,"HDBSCAN_full",300,0.900752209170911,0.00613388985725934,-0.0646248115631606,0.0183299634470919,-0.0646248115631606,0.0183299634470919,-0.0633333333333333,0.0188275832028569,0.0633333333333333,0.0188275832028569,0,0,-1.94150666666667,0.0210095579954602
"stress",2,"HDBSCAN_full",300,0.866612223415851,0.00919270707356439,-0.229843391522882,0.0240053377136248,-0.229843391522882,0.0240053377136248,0.126666666666667,0.0269577204514047,-0.126666666666667,0.0269577204514047,0,0,-0.968216666666665,0.0247797798761364
"stress",3,"HDBSCAN_full",300,0.881222853838097,0.00811222899609254,-0.144183254970476,0.0217867102176839,-0.144183254970476,0.0217867102176839,0.0266666666666667,0.02355918722837,-0.0266666666666667,0.02355918722837,0,0,-1.28811333333333,0.0232599929129061
"stress",4,"HDBSCAN_full",300,0.914011013163142,0.00309436131640016,-0.0100763756995897,0.0187709695184613,-0.0100763756995897,0.0187709695184613,-0.11,0.0187008366978473,0.11,0.0187008366978473,0,0,-4.30581,0.0221930207299343
"stress",5,"HDBSCAN_full",300,0.906614093209755,0.00301135625800388,-0.0164681266547908,0.0192792923983648,-0.0164681266547908,0.0192792923983648,-0.08,0.0156892908110547,0.776666666666667,0.287921794059796,0.716666666666667,0.288673525475865,-2.54228666666665,0.0116890544932485
"stress",6,"HDBSCAN_full",300,-0.00489543159196406,0.000304563709819882,0.109827865139455,0.0201204930192476,0.109827865139455,0.0201204930192476,-0.106666666666667,0.0201959924793494,0.106666666666667,0.0201959924793494,0,0,-0.632243333333339,0.00135969714587475
"stress",7,"HDBSCAN_full",300,0.00114601242064471,0.000142446804516166,0,0,0,0,0,0,0,0,0,0,-1.97573333333332,0.0027992885436834
"stress",8,"HDBSCAN_full",300,0.000895404986202487,0.000131656694834286,0,0,0,0,0,0,0,0,0,0,-7.38189666666667,0.00604414989985663
"stress",9,"HDBSCAN_full",300,0.607272149595839,0.00432993101326116,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,-0.00333333333333333,0.00333333333333333,0.00333333333333333,0.00333333333333333,0,0,-0.677213333333325,0.00123058544707345
"stress",10,"HDBSCAN_full",300,0.787237461046874,0.00169657278177967,-0.900053439372986,0.0160463287372067,-0.900053439372986,0.0160463287372067,0.913333333333333,0.016270657623984,-0.913333333333333,0.016270657623984,0,0,-0.402359999999949,0.000878056026529873
"stress",11,"HDBSCAN_full",300,0.454333277228008,0.0165133349737115,-0.338881508104244,0.0333272804080265,-0.338881508104244,0.0333272804080265,0.343333333333333,0.0336611527875421,-0.343333333333333,0.0336611527875421,0,0,-0.40279333333332,0.000853317917222586
"stress",12,"HDBSCAN_full",300,0.958020215365075,0.005578421306173,-0.111371994070933,0.00823658996438194,-0.111371994070933,0.00823658996438194,0.00666666666666667,0.00816951580450879,-0.00666666666666667,0.00816951580450879,0,0,-2.00019000000003,0.014939854956095
"stress",13,"HDBSCAN_full",300,0.769565291091717,0.0213562569605372,0.0738497101507766,0.0288575405320937,0.0738497101507766,0.0288575405320937,-0.173333333333333,0.0296743128948631,0.173333333333333,0.0296743128948631,0,0,-1.5648466666666,0.041194024545661
"stress",14,"HDBSCAN_full",300,0.530152015571931,0.0188674307758899,-0.396407424235059,0.0355990861556085,-0.396407424235059,0.0355990861556085,0.406666666666667,0.0360209691603287,-0.406666666666667,0.0360209691603287,0,0,-0.40169333333339,0.000960465946628845
"stress",15,"HDBSCAN_full",300,0.524429992226557,0.0166776143630468,-0.364035833433861,0.034261292542618,-0.364035833433861,0.034261292542618,0.373333333333333,0.0347288696721198,-0.373333333333333,0.0347288696721198,0,0,-0.400879999999961,0.000824956875335331
"stress",16,"HDBSCAN_full",300,0.93049265410899,0.000873507316144916,-0.067786709788846,0.0201745775936772,-0.067786709788846,0.0201745775936772,-0.0633333333333333,0.0210633346221152,0.0633333333333333,0.0210633346221152,0,0,-1.45592333333329,0.0128433999971118
"stress",17,"HDBSCAN_full",300,0.00318652430367517,0.000243453821490476,0.133941987723088,0.0187821723979596,0.133941987723088,0.0187821723979596,-0.123333333333333,0.0190161190402225,0.123333333333333,0.0190161190402225,0,0,-0.44379000000002,0.00106527101768618
"stress",18,"HDBSCAN_full",300,0.897141720699942,0.000919918622986741,-0.0268907537389788,0.0134273998675842,-0.0268907537389788,0.0134273998675842,-0.05,0.0126040817299072,0.05,0.0126040817299072,0,0,-2.68160666666673,0.00805542643549493
"stress",19,"HDBSCAN_full",300,0.900885421854942,0.000892497657674348,-0.0387538980437857,0.0167979692371232,-0.0387538980437857,0.0167979692371232,-0.09,0.0165503185310211,0.09,0.0165503185310211,0,0,-2.38192999999995,0.00781935648870829
"stress",20,"HDBSCAN_full",300,0.923245562007067,0.000941235261321135,-0.142798732461053,0.0158526945860974,-0.1338363132774,0.0181509898030212,0.0833333333333333,0.0159837803332661,-0.123333333333333,0.0401275372948513,0,0,-1.76119666666667,0.0240750590022292
"stress",21,"HDBSCAN_full",300,0.864823180233376,0.000834893695894345,-0.00633558092140262,0.00792463951198508,-0.0263259450165563,0.00527954893614823,-0.08,0.0156892908110547,0.08,0.0156892908110547,0,0,-2.47528333333333,0.0086967022521805
